,Currency,Unit,Buy,Sell,
,,,,INR (Indian Rupee),,,,100,160.00,160.15,
,Currency,Unit,Buy,Sell,
,,,,usd (U.S. Dollar),,,,1,131.40,132.00,
,,,,eur (European Euro),,,,1,140.69,141.33,
,,,,gbp (UK Pound Sterling),,,,1,163.60,164.35,
,,,,chf (Swiss Franc),,,,1,144.59,145.25,
,,,,aud (Australian Dollar),,,,1,86.88,87.28,
,,,,cad (Canadian Dollar),,,,1,97.88,98.32,
,,,,sgd (Singapore Dollar),,,,1,97.33,97.77,
,,,,jpy (Japanese Yen),,,,10,9.39,9.43,
,,,,cny (Chinese Yuan),,,,1,18.55,18.63,
,,,,sar (Saudi Arabian Riyal),,,,1,35.03,35.19,
,,,,qar (Qatari Riyal),,,,1,36.04,36.20,
,,,,thb (Thai Baht),,,,1,3.78,3.80,
,,,,aed (UAE Dirham),,,,1,35.78,35.94,
,,,,myr (Malaysian Ringgit),,,,1,28.71,28.84,
,,,,krw (South Korean Won),,,,100,10.06,10.11,
,,,,sek (Swedish Kroner),,,,1,12.17,12.22,
,,,,dkk (Danish Kroner),,,,1,18.89,18.98,
,,,,hkd (Hong Kong Dollar),,,,1,16.77,16.84,
,,,,kwd (Kuwaity Dinar),,,,1,427.12,429.07,
,,,,bhd (Bahrain Dinar),,,,1,348.54,350.13,
